drug_a (generic),drug_b (generic),severity,mechanism,clinical_action,source_note,source_url
warfarin,fluconazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,amiodarone,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,sertraline,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,fluoxetine,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
acenocoumarol,clarithromycin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,erythromycin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,ciprofloxacin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,levofloxacin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,metronidazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,trimethoprim-sulfamethoxazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,fluconazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,amiodarone,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,sertraline,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,fluoxetine,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/acenocoumarol/
apixaban,clarithromycin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,ketoconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,itraconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,voriconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,ritonavir,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,carbamazepine,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,phenytoin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,rifampicin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/apixaban/
rivaroxaban,clarithromycin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,ketoconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,itraconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,voriconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,ritonavir,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,carbamazepine,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,phenytoin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,rifampicin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/rivaroxaban/
dabigatran,clarithromycin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,ketoconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,itraconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,voriconazole,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,ritonavir,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,carbamazepine,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,phenytoin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,rifampicin,major,"Strong P-gp or CYP3A4 inhibition can increase anticoagulant exposure, while enzyme induction can reduce anticoagulant efficacy.",Avoid strong inhibitors or inducers where possible and choose an alternative anticoagulant or antimicrobial with specialist input.,BNF Interactions A-Z: direct oral anticoagulant interactions; Beers 2023 anticoagulant bleeding-risk principles.,https://bnf.nice.org.uk/interactions/dabigatran/
enalapril,spironolactone,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,amiloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/enalapril/
